,DATE,kg_avg_price,fe_doy_sin,fe_doy_cos,fe_doy2_sin,fe_doy2_cos,fe_week_sin,fe_week_cos,fe_summer_ind,fe_stage_spring_facility,fe_stage_spring_openfield,fe_stage_semi_highland_1,fe_stage_highland,fe_stage_semi_highland_2,fe_stage_autumn
2634,2019-10-03,1604.864553582144,-0.9993706508539968,0.0354725557531255,-0.0709004622609115,-0.9974833955766828,0.4338837391175582,-0.900968867902419,0.5527555015877842,0,0,0,0,1,0
2635,2019-10-04,1502.6135525826237,-0.9986126020839734,0.052658056924614,-0.1051699984923495,-0.9944542580818482,-0.433883739117558,-0.9009688679024191,0.5394075072376265,0,0,0,0,1,0
2636,2019-10-05,1010.733957960368,-0.9975590477788612,0.0698279757298708,-0.1393150579548309,-0.9902481076109372,-0.9749279121818236,-0.2225209339563146,0.5261219640934566,0,0,0,0,1,0
2637,2019-10-07,1135.2501252366528,-0.9945667569706336,0.1041007489354256,-0.2070702885338407,-0.9783260681421668,0.0,1.0,0.4997835137030315,0,0,0,0,1,0
2638,2019-10-08,981.2991491930431,-0.9926289059345096,0.121193461470736,-0.2406002661322256,-0.9706242897934824,0.7818314824680298,0.6234898018587336,0.4867522559599717,0,0,0,0,1,0
2639,2019-10-09,1046.4568100432984,-0.9903973200352558,0.1382503109109819,-0.2738454748405547,-0.9617737030660336,0.9749279121818236,-0.2225209339563143,0.473826726395364,0,0,0,0,1,0
2640,2019-10-10,1130.759746290708,-0.9878726596350428,0.1552662498599956,-0.3067665664015059,-0.9517847833088268,0.4338837391175582,-0.900968867902419,0.4610167107835354,0,0,0,0,1,0
2641,2019-10-11,1145.6662284458555,-0.9850556718215012,0.172236243027682,-0.3393245761752893,-0.9406693531754186,-0.433883739117558,-0.9009688679024191,0.448331563940943,0,0,0,0,1,0
2642,2019-10-12,1078.1812742356772,-0.981947190186646,0.1891552687200409,-0.3714809692572883,-0.9284405686308982,-0.9749279121818236,-0.2225209339563146,0.4357802031543156,0,0,0,0,1,0
2643,2019-10-14,1138.8715769555713,-0.9748595108374124,0.2228204077947995,-0.4344371874948622,-0.9007021317403184,0.0,1.0,0.4111122905071874,0,0,0,0,1,0
2644,2019-10-15,1266.978410535822,-0.9708824104813836,0.239556559120927,-0.4651624991319035,-0.8852253099642835,0.7818314824680298,0.6234898018587336,0.39901134372866,0,0,0,0,1,0
2645,2019-10-16,1249.1297762394497,-0.9666180104000972,0.2562218218071163,-0.4953372552325659,-0.8687007560596847,0.9749279121818236,-0.2225209339563143,0.3870753885499897,0,0,0,0,1,0
2646,2019-10-17,1113.5239003908637,-0.9620675724981452,0.2728112643340191,-0.5249257416559593,-0.8511480281049478,0.4338837391175582,-0.900968867902419,0.3753110988513995,0,0,0,0,1,0
2647,2019-10-18,965.6917540897016,-0.957232443323312,0.2893199776186952,-0.5538929381563792,-0.8325879011014353,-0.433883739117558,-0.9009688679024191,0.3637246969042016,0,0,0,0,1,0
2648,2019-10-19,981.28398615972,-0.9521140536681102,0.3057430764672831,-0.5822045598324479,-0.8130423423846421,-0.9749279121818236,-0.2225209339563146,0.3523219549954969,0,0,0,0,1,0
2649,2019-10-21,824.1089657476691,-0.9410336347451196,0.3383130181923076,-0.6367278583821979,-0.7710886034432227,0.0,1.0,0.3300883075351398,0,0,0,0,0,1
2650,2019-10-22,886.6098396779315,-0.9350748843515574,0.3544502230989869,-0.6628750027453377,-0.7487300786901568,0.7818314824680298,0.6234898018587336,0.3192667256288431,0,0,0,0,0,1
